OpenAlias asset_type,Asset Common Name,CAIP-19 suffix,,
fix,FIX,/slip44:336,,
cpc,CPChain,/slip44:337,,
vgo,VirtualGoodsToken,/slip44:338,,
dvt,DeVault,/slip44:339,,
n8v,N8VCoin,/slip44:340,,
mtns,OmotenashiCoin,/slip44:341,,
blast,BLAST,/slip44:342,,
dct,DECENT,/slip44:343,,
aux,Auxilium,/slip44:344,,
usdp,USDP,/slip44:345,,
htdf,HTDF,/slip44:346,,
yec,Ycash,/slip44:347,,
qlc,QLC Chain,/slip44:348,,
tea,Icetea Blockchain,/slip44:349,,
arw,ArrowChain,/slip44:350,,
mdm,Medium,/slip44:351,,
cyb,Cybex,/slip44:352,,
lto,LTO Network,/slip44:353,,
dot,Polkadot,/slip44:354,,
aeon,Aeon,/slip44:355,,
res,Resistance,/slip44:356,,
aya,Aryacoin,/slip44:357,,
daps,Dapscoin,/slip44:358,,
csc,CasinoCoin,/slip44:359,,
vsys,V Systems,/slip44:360,,
nollar,Nollar,/slip44:361,,
xnos,NOS,/slip44:362,,
cpu,CPUchain,/slip44:363,,
lamb,Lambda Storage Chain,/slip44:364,,
vct,ValueCyber,/slip44:365,,
czr,Canonchain,/slip44:366,,
abbc,ABBC,/slip44:367,,
het,HET,/slip44:368,,
xas,Asch,/slip44:369,,
vdl,Vidulum,/slip44:370,,
med,MediBloc,/slip44:371,,
zvc,ZVChain,/slip44:372,,
vestx,Vestx,/slip44:373,,
dbt,DarkBit,/slip44:374,,
seos,SuperEOS,/slip44:375,,
mxw,Maxonrow,/slip44:376,,
znz,ZENZO,/slip44:377,,
xcx,XChain,/slip44:378,,
sox,SonicX,/slip44:379,,
nyzo,Nyzo,/slip44:380,,
ulc,ULCoin,/slip44:381,,
ryo,Ryo Currency,/slip44:382,,
kal,Kaleidochain,/slip44:383,,
xsn,Stakenet,/slip44:384,,
dogec,DogeCash,/slip44:385,,
bmv,Bitcoin Matteo's Vision,/slip44:386,,
qbc,Quebecoin,/slip44:387,,
img,ImageCoin,/slip44:388,,
qos,QOS,/slip44:389,,
pkt,PKT,/slip44:390,,
lhd,LitecoinHD,/slip44:391,,
cennz,CENNZnet,/slip44:392,,
hsn,Hyper Speed Network,/slip44:393,,
cro,Crypto Chain,/slip44:394,,
umbru,Umbru,/slip44:395,,
ever,Everscale,/slip44:396,,
near,NEAR Protocol,/slip44:397,,
xpc,XPChain,/slip44:398,,
zoc,01coin,/slip44:399,,
nix,NIX,/slip44:400,,
uc,Utopiacoin,/slip44:401,,
gali,Galilel,/slip44:402,,
olt,Oneledger,/slip44:403,,
xbi,XBI,/slip44:404,,
donu,DONU,/slip44:405,,
earths,Earths,/slip44:406,,
hdd,HDDCash,/slip44:407,,
sugar,Sugarchain,/slip44:408,,
aile,AileCoin,/slip44:409,,
tent,TENT,/slip44:410,,
tan,Tangerine Network,/slip44:411,,
ain,AIN,/slip44:412,,
msr,Masari,/slip44:413,,
sumo,Sumokoin,/slip44:414,,
etn,Electroneum,/slip44:415,,
bytz,BYTZ,/slip44:416,,
wow,Wownero,/slip44:417,,
xtnc,XtendCash,/slip44:418,,
lthn,Lethean,/slip44:419,,
node,NodeHost,/slip44:420,,
